price_date,sentiment_score,ret_cs_std,ret_cs_mad,ret_mean,n_tickers_returns,coverage_ratio,roll_corr_sent_std_5d,roll_corr_sent_std_10d,roll_corr_sent_std_30d,roll_corr_sent_mad_5d,roll_corr_sent_mad_10d,roll_corr_sent_mad_30d,roll_corr_sent_mean_5d,roll_corr_sent_mean_10d,roll_corr_sent_mean_30d
2024-06-17 00:00:00+00:00,0.025886598496865004,0.020302818931085743,0.011919894402015602,0.013626847411831578,7,1.0,0.4220657239142063,0.12376208097640735,,0.30078048056743756,-0.01807123184389132,,0.7029561935444193,0.2878558649762506,
2024-06-20 00:00:00+00:00,-0.028604039058489638,0.02661952903338759,0.019073968954154273,-0.011489351509342017,7,1.0,0.1912886640363312,0.24099825363669108,,0.11545761927647025,0.14696553106201923,,0.7273265129658805,0.2679120556308172,
2024-07-05 00:00:00+00:00,0.07376755095056947,0.020884349041824287,0.014367211327614423,0.017252697470430338,7,1.0,0.3210762900094815,0.34142972526328114,,0.22960533856206733,0.20139206970733725,,0.7582018063633662,0.3005111668506749,
2024-07-08 00:00:00+00:00,0.11998892637590564,0.013530326006962605,0.008924425703664623,-0.0004461396471685644,7,1.0,-0.30596657229208835,0.2562784988094743,,-0.34178873314005,0.1716289983824012,,0.36317102123708,0.4867806810754058,
2024-07-09 00:00:00+00:00,-0.06839307200382738,0.019863768289148487,0.013028735934655712,0.0037203030332688125,7,1.0,-0.6479527998549058,0.1531316657276082,,-0.5742762470476527,0.08271844698355642,,0.31325622058335456,0.43317742482498917,
2024-07-12 00:00:00+00:00,-0.0053016972105720565,0.019449730647660667,0.012355081991380936,0.009471345833010047,7,1.0,-0.6239707589084746,0.10999656600343137,,-0.538601409705668,0.06562455970253903,,0.27257871964657293,0.42595080502128985,
2024-07-22 00:00:00+00:00,-0.12154446193150109,0.017170498062074616,0.012925963506936658,0.005712611761698251,7,1.0,-0.30749556749689944,-0.03974924550264256,,-0.4689042365722137,-0.10972752561235201,,0.08698637920961781,0.338441471815071,
2024-07-26 00:00:00+00:00,-0.18151173317463562,0.014176901965052731,0.009789687654198284,-0.0008099759750214724,7,1.0,-0.12938240218075198,0.11638725944267823,,-0.34499543945185784,0.01633399614210432,,0.0003843517400969975,0.30996282106762596,
2024-08-05 00:00:00+00:00,-0.12198053764946319,0.026379738754853724,0.01940960287537233,0.050525297634337406,7,1.0,0.2845383160198414,-0.04823320802360143,,0.06536924600476393,-0.17586913328280326,,-0.03078196450183895,-0.13678785486906136,
2024-08-06 00:00:00+00:00,-0.14971495960508624,0.004251171592300028,0.003229839899980816,0.00263732936638477,5,0.7142857142857143,0.38439909179370446,0.2209775501642003,,0.2763244417168998,0.10719108433229847,,0.12121111379004916,-0.0921977404385699,
2024-08-09 00:00:00+00:00,-0.15529766638359957,0.01141184359136393,0.009491876135899913,0.010989109859911143,7,1.0,0.5253859807150384,0.27804894209074366,,0.5650699672008543,0.1769895223008092,,0.6014416116974352,-0.1296686686333714,
2024-08-19 00:00:00+00:00,-0.04681122751954273,0.016542095072408346,0.01281610133991438,0.013598600634946337,7,1.0,0.3377300272775507,0.25241642374282297,0.15420866066258343,0.3889044329466981,0.14097027775657162,0.08820238125225409,0.31405796483153137,-0.08270340831835124,0.037256021348922724
2024-08-23 00:00:00+00:00,-0.08447141210107426,0.016037026087379776,0.011926454184133708,0.0067349705101249135,7,1.0,0.3889368215036957,0.1482149701003994,0.18357568077919892,0.3895051692704109,0.03556637317504892,0.10666580138489648,-0.010421364573696431,-0.1717755550107225,0.01709971602247146
2024-09-09 00:00:00+00:00,-0.06860943709282166,0.012119846931006824,0.007675536298404929,-0.0014970009968241324,7,1.0,0.7520899446869416,0.3734421869960612,0.16452436005539522,0.6237933524648009,0.26091841162133417,0.10732171054786359,0.06179251060144431,-0.010009430826178525,0.033723897112247776
